Scenrario_ID,Scenario_Name,Mitre_Groups,Reported_Origin,Simiulated Tactics,Simulated Techniques,Expected_artifacts,Reference
S01,admin@338,admin@338,China,Defense Evasion; Discovery; Execution; Initial Access,T1007; T1016; T1016.001; T1036.005; T1049; T1059.003; T1069.001; T1069.002; T1082; T1083; T1087.001; T1204.002; T1204.003; T1566.001,"proc: cmd.exe, cmdkey.exe, net.exe, netstat, plink.exe, sc, tasklist.exe, whoami; net: HTTPS 443, ICMP ping; file: %TEMP%\OSTapGet.js, %temp%\service-list.txt, C:\Users\;, C:\Users\Public\art.jse`, c:\Users\, c:\windows\system32\cmd.exe",https://attack.mitre.org/groups/G0018/
S02,APT 30,APT 30,China,Execution; Initial Access,T1204.002; T1566.001,"net: HTTPS 443, ICMP ping; file: C:\Users\Public\art.jse`, C:\Users\`",https://attack.mitre.org/groups/G0013/
S03,APT1,APT1,China,Collection; Credential Access; Defense Evasion; Discovery; Execution; Initial Access; Lateral Movement; Multiple,T1003.001; T1005; T1007; T1016; T1016.001; T1021.001; T1036.005; T1049; T1057; T1059.003; T1087.001; T1114.001; T1114.002; T1119; T1135; T1550.002; T1560.001; T1566.001,"proc: cmd.exe, cmdkey.exe, netstat, sc, tasklist.exe, whoami; net: HTTPS 443, ICMP ping; file: %TEMP%\7zip.exe, C:\Users, C:\Users\Public\art.jse`, c:\Users\, c:\windows\system32\cmd.exe",https://attack.mitre.org/groups/G0006/
S04,APT12,APT12,China,Execution; Initial Access,T1204.002; T1566.001,"net: HTTPS 443, ICMP ping; file: C:\Users\Public\art.jse`, C:\Users\`",https://attack.mitre.org/groups/G0005/
S05,APT19,APT19,China,Command and Control; Defense Evasion; Discovery; Execution; Initial Access; Multiple,T1016; T1016.001; T1033; T1059.001; T1071.001; T1082; T1112; T1132.001; T1140; T1204.002; T1218.010; T1218.011; T1543.003; T1547.001; T1564.003; T1566.001; T1574.002,"proc: powershell.exe, sc, whoami; net: HTTPS 443, ICMP ping, SMB 445; file: %temp%\shell32.jpg, C:\Path\AtomicRedTeam.exe, C:\Program, C:\Users\$env:username\Downloads\calc.png,, C:\Users\Public\art.jse`, C:\Users\`, C:\Windows\System32\Curl.exe, C:\Windows\system32\regsvr32.exe, C:\Windows\syswow64\regsvr32.exe, C:\windows\system32\WindowsPowerShell\v1.0\powershell.exe",https://attack.mitre.org/groups/G0073/
S06,APT3,APT3,China,Collection; Command and Control; Credential Access; Defense Evasion; Discovery; Execution; Exfiltration; Multiple; Persistence,T1003.001; T1005; T1027.002; T1041; T1056.001; T1059.001; T1059.003; T1069.001; T1069.002; T1070.004; T1074.001; T1083; T1087.001; T1095; T1098; T1105; T1110.002; T1136.001; T1543.003; T1546.008; T1547.001; T1555.003; T1560.001; T1564.003; T1574.002,"proc: cmd.exe, cmdkey.exe, powershell.exe, procdump.exe, sc; net: HTTPS 443; file: %TEMP%\7zip.exe, %TEMP%\winrar.exe, %Temp%\allthethingsx64.dll, C:\Windows\System32\Curl.exe, C:\Windows\System32\calc.exe, C:\Windows\System32\cmd.exe, C:\Windows\System32\sethc.exe, C:\Windows\System32\sethc_backup.exe, C:\Windows\System32\sethc_backup.exe), C:\Windows\Temp\lsass_dump.dmp, C:\windows\system32\WindowsPowerShell\v1.0\powershell.exe, c:\Users\, c:\programdata\allthethingsx64.dll, c:\temp\atomictestfile.txt, c:\users\public\music\allthethingsx64.dll",https://attack.mitre.org/groups/G0022/
S07,APT41,APT41,China,Collection; Command and Control; Credential Access; Defense Evasion; Discovery; Execution; Exfiltration; Impact; Initial Access; Lateral Movement; Multiple; Persistence,T1001.002; T1003.001; T1003.002; T1003.003; T1005; T1012; T1014; T1016.001; T1021.001; T1021.002; T1027; T1027.004; T1030; T1033; T1036.004; T1041; T1046; T1047; T1048.002; T1049; T1053.003; T1053.006; T1055; T1055.002; T1056.001; T1059.001; T1059.002; T1059.003; T1059.004; T1059.007; T1069.002; T1070.001; T1070.003; T1070.004; T1071.001; T1071.004; T1074.001; T1078.001; T1082; T1083; T1087.001; T1087.002; T1090.001; T1098; T1105; T1110.002; T1112; T1133; T1134.005; T1135; T1136.002; T1140; T1195; T1197; T1218.001; T1486; T1496; T1505.004; T1542.001; T1543.003; T1546.004; T1547.001; T1550.002; T1550.003; T1555.003; T1560; T1560.001; T1562.008; T1566.001; T1567.001; T1567.002; T1569.002; T1570; T1574.011,"proc: cmd.exe, cmdkey.exe, netstat, powershell.exe, reg.exe, sc, whoami; net: HTTPS 443, ICMP ping, SMB 445; file: %TEMP%\7zip.exe, %Temp%\allthethingsx64.dll, %temp%\..\Microsoft\ExplorerSync.db, %temp%\ExplorerSync.db, %temp%\T1555.003_Login_Data.tmp, C:\Program, C:\Users\Public\art.jse`, C:\Users\Public\sandcat.go-windows, C:\Windows\System32\Curl.exe, C:\Windows\System32\calc.exe, C:\Windows\Temp, C:\art-marker.txt, c:\T1036.004_NonExistingScript.ps1, c:\Users\, c:\programdata\allthethingsx64.dll, c:\temp\atomictestfile.txt, c:\users\public\music\allthethingsx64.dll",https://attack.mitre.org/groups/G0096/
S08,Aquatic Panda,Aquatic Panda,China,Collection; Command and Control; Credential Access; Defense Evasion; Discovery; Execution; Exfiltration; Lateral Movement; Multiple,T1003.001; T1005; T1007; T1021.001; T1021.002; T1021.004; T1033; T1036; T1036.003; T1036.004; T1047; T1059.001; T1059.003; T1059.004; T1070.001; T1070.003; T1070.004; T1078.001; T1078.003; T1082; T1087.001; T1105; T1112; T1218.011; T1518; T1518.001; T1543.003; T1550.002; T1550.003; T1560.001; T1562.001; T1574.001; T1574.006; T1654,"proc: cmd.exe, net.exe, powershell.exe, procdump.exe, sc, tasklist.exe, whoami; net: HTTPS 443; file: %TEMP%\7zip.exe, %TEMP%\winrar.exe, %Temp%\allthethingsx64.dll, %temp%\T1036.003_masquerading.doc.ps1, %temp%\T1036.003_masquerading.docx.exe, %temp%\T1036.003_masquerading.pdf.exe, %temp%\T1036.003_masquerading.pdf.ps1, %temp%\T1036.003_masquerading.png.vbs, %temp%\T1036.003_masquerading.ps1.exe, %temp%\T1036.003_masquerading.rtf.ps1, %temp%\T1036.003_masquerading.xls.vbs, %temp%\T1036.003_masquerading.xlsx.vbs, %temp%\nanodump.dmp, %temp%\service-list.txt, C:\CrackMapExecWin\crackmapexec.exe, C:\IDontExist.dll, C:\Users, C:\Users\$env:username\Downloads\calc.png,, C:\Windows\System32\Curl.exe, C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\Windows\System32\calc.exe, C:\Windows\System32\notepad.exe, C:\Windows\Temp\lsass_dump.dmp, C:\windows\system32\WindowsPowerShell\v1.0\powershell.exe, c:\T1036.004_NonExistingScript.ps1, c:\programdata\allthethingsx64.dll, c:\temp\atomictestfile.txt, c:\users\public\music\allthethingsx64.dll, c:\windows\system32\cmd.exe",https://attack.mitre.org/groups/G0143/
S09,Axiom,Axiom,China,Collection; Command and Control; Credential Access; Defense Evasion; Exfiltration; Initial Access; Lateral Movement; Multiple,T1001.002; T1003.008; T1005; T1021.001; T1078.001; T1078.003; T1546.008; T1553.004; T1553.005; T1560.001; T1560.002; T1563.002; T1566.001,"proc: cmd.exe, plink.exe, sc; net: HTTPS 443, ICMP ping; file: %TEMP%\7zip.exe, %TEMP%\winrar.exe, C:\Users, C:\Users\Public\art.jse`, C:\WINDOWS\system32\cmd.exe, C:\Windows\System32\cmd.exe, C:\Windows\System32\sethc.exe, C:\Windows\System32\sethc_backup.exe, C:\Windows\System32\sethc_backup.exe), c:\temp\loghost.txt, c:\temp\loghost.txt;, c:\temp\loghost_ip.txt",https://attack.mitre.org/groups/G0001/
S10,BlackTech,BlackTech,China,Defense Evasion; Discovery; Execution; Initial Access; Lateral Movement; Multiple,T1021.004; T1036.003; T1036.004; T1046; T1106; T1204.002; T1566.001; T1574.002,"proc: powershell.exe, sc; net: HTTPS 443, ICMP ping, SMB 445; file: %temp%\T1036.003_masquerading.doc.ps1, %temp%\T1036.003_masquerading.docx.exe, %temp%\T1036.003_masquerading.pdf.exe, %temp%\T1036.003_masquerading.pdf.ps1, %temp%\T1036.003_masquerading.png.vbs, %temp%\T1036.003_masquerading.ps1.exe, %temp%\T1036.003_masquerading.rtf.ps1, %temp%\T1036.003_masquerading.xls.vbs, %temp%\T1036.003_masquerading.xlsx.vbs, C:\Program, C:\Users\Public\art.jse`, C:\Users\`, C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe, C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\Windows\System32\calc.exe, c:\T1036.004_NonExistingScript.ps1",https://attack.mitre.org/groups/G0098/
S11,Cinnamon Tempest,Cinnamon Tempest,China,Command and Control; Defense Evasion; Execution; Exfiltration; Lateral Movement; Multiple; Privilege Escalation,T1021.001; T1021.002; T1021.005; T1047; T1059.001; T1059.003; T1059.006; T1078.003; T1090.001; T1090.003; T1105; T1140; T1484.001; T1484.002; T1543.003; T1567.002; T1572; T1574.001; T1574.002; T1574.010,"proc: cmd.exe, powershell.exe, sc, whoami; net: HTTPS 443; file: %Temp%\allthethingsx64.dll, C:\Program, C:\Temp, C:\Users\Public\ngrok\ngrok.exe, C:\Windows\System32\Curl.exe, C:\windows\system32\WindowsPowerShell\v1.0\powershell.exe, c:\Temp, c:\programdata\allthethingsx64.dll, c:\temp\atomictestfile.txt, c:\users\public\music\allthethingsx64.dll, c:\windows\system32\cmd.exe",https://attack.mitre.org/groups/G1021/
S12,Elderwood,Elderwood,China,Command and Control; Defense Evasion; Execution; Initial Access,T1027.002; T1105; T1204.002; T1566.001,"net: HTTP 80, HTTPS 443, ICMP ping; file: %TEMP%\OSTapGet.js, %Temp%\allthethingsx64.dll, %temp%\Atomic-license.txt, C:\ProgramData\Microsoft\Windows\Start, C:\Temp, C:\Users\Public\art.jse`, C:\Users\`, C:\Windows\System32\Curl.exe, c:\Temp, c:\programdata\allthethingsx64.dll, c:\temp\atomictestfile.txt, c:\users\public\music\allthethingsx64.dll",https://attack.mitre.org/groups/G0066/
S13,IndigoZebra,IndigoZebra,China,Command and Control; Execution; Initial Access,T1105; T1204.002; T1566.001,"net: HTTPS 443, ICMP ping; file: %Temp%\allthethingsx64.dll, C:\Temp, C:\Users\Public\art.jse`, C:\Users\`, C:\Windows\System32\Curl.exe, c:\Temp, c:\programdata\allthethingsx64.dll, c:\temp\atomictestfile.txt, c:\users\public\music\allthethingsx64.dll",https://attack.mitre.org/groups/G0136/
S14,Leviathan,Leviathan,China,Collection; Command and Control; Credential Access; Defense Evasion; Execution; Exfiltration; Initial Access; Lateral Movement; Multiple; Persistence,T1003.001; T1021.001; T1021.004; T1027.001; T1041; T1047; T1055.001; T1059.001; T1059.002; T1059.005; T1074.001; T1078.001; T1078.003; T1090.003; T1105; T1133; T1140; T1197; T1204.002; T1218.010; T1505.004; T1546.003; T1547.001; T1547.009; T1553.004; T1559; T1560.001; T1566.001; T1567.001; T1567.002; T1572,"proc: cmd.exe, powershell.exe, procdump.exe; net: HTTPS 443, ICMP ping; file: %TEMP%\7zip.exe, %TEMP%\winrar.exe, %temp%\T1547.009_modified_shortcut.url, %temp%\bitsadmin3_flag.ps1, %temp%\shell32.jpg, C:\Temp, C:\Users\Public\art.jse`, C:\Users\Public\s4ndc4t.exe, C:\Users\Public\sandcat.dll, C:\Windows\System32, C:\Windows\System32\Curl.exe, C:\Windows\System32\calc.exe, C:\Windows\Temp, C:\Windows\Temp\lsass_dump.dmp, C:\Windows\system32\notepad.exe, C:\Windows\system32\regsvr32.exe, C:\windows\system32\calc.exe, c:\Temp, c:\temp\atomictestfile.txt, c:\windows\system32\wbem\mofcomp.exe",https://attack.mitre.org/groups/G0065/
S15,LuminousMoth,LuminousMoth,China,Collection; Command and Control; Credential Access; Defense Evasion; Discovery; Execution; Exfiltration; Initial Access; Multiple,T1005; T1030; T1033; T1036.005; T1041; T1053.005; T1071.001; T1083; T1091; T1105; T1112; T1204.002; T1539; T1547.001; T1553.006; T1557.001; T1560.001; T1560.002; T1564.001; T1566.001; T1567.001; T1574.002,"proc: cmd.exe, whoami; net: HTTP 80, HTTPS 443, ICMP ping; file: %TEMP%\7zip.exe, %Temp%\allthethingsx64.dll, %temp%\T1564.001.txt, C:\Program, C:\Users, C:\Users\Public\art.jse`, C:\Users\`, C:\Windows\System32\Curl.exe, C:\Windows\System32\calc.exe, C:\Windows\System32\notepad.exe, c:\programdata\allthethingsx64.dll, c:\temp\atomictestfile.txt, c:\users\public\music\allthethingsx64.dll",https://attack.mitre.org/groups/G1014/
S16,menuPass,menuPass,China,Collection; Command and Control; Credential Access; Defense Evasion; Discovery; Execution; Initial Access; Lateral Movement; Multiple,T1003.002; T1003.003; T1003.004; T1005; T1016; T1018; T1021.001; T1021.004; T1036.003; T1036.005; T1039; T1046; T1047; T1049; T1053.002; T1055.012; T1056.001; T1059.001; T1059.003; T1070.003; T1070.004; T1074.001; T1078.001; T1078.003; T1083; T1087.002; T1090.001; T1090.003; T1105; T1106; T1140; T1204.002; T1218.004; T1560.001; T1560.002; T1566.001; T1574.001; T1574.002,"proc: cmd.exe, netstat, plink.exe, powershell.exe, whoami; net: HTTPS 443, ICMP ping, SMB 445; file: %TEMP%\7zip.exe, %TEMP%\Easter_egg.password, %TEMP%\test.bin, %TEMP%\winrar.exe, %Temp%\allthethingsx64.dll, %temp%\T1036.003_masquerading.doc.ps1, %temp%\T1036.003_masquerading.docx.exe, %temp%\T1036.003_masquerading.pdf.exe, %temp%\T1036.003_masquerading.pdf.ps1, %temp%\T1036.003_masquerading.png.vbs, %temp%\T1036.003_masquerading.ps1.exe, %temp%\T1036.003_masquerading.rtf.ps1, %temp%\T1036.003_masquerading.xls.vbs, %temp%\T1036.003_masquerading.xlsx.vbs, %temp%\deleteme_T1551.004, %temp%\sam, %temp%\secrets, %temp%\security, %temp%\system, C:\Program, C:\T1036.003.txt, C:\Temp, C:\Temp\vssstore, C:\Users, C:\Users\Public\art.jse`, C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe, C:\Windows\System32\Curl.exe, C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\Windows\System32\calc.exe, C:\Windows\System32\cmd.exe, C:\Windows\System32\notepad.exe, C:\Windows\System32\werfault.exe, C:\Windows\Temp, C:\Windows\Temp\SYSTEM_HIVE, C:\Windows\Temp\VSC_SYSTEM_HIVE, C:\Windows\Temp\debug.exe, C:\Windows\Temp\debug.exe;, C:\Windows\Temp\ntds.dit, C:\Windows\system32\WindowsPowerShell\v1.0\powershell.exe, C:\Windows\temp\debug.log;, C:\lsm.exe, c:\Temp, c:\programdata\allthethingsx64.dll, c:\temp\atomictestfile.txt, c:\users\public\music\allthethingsx64.dll, c:\windows\system32\cmd.exe",https://attack.mitre.org/groups/G0045/
S17,Mofang,Mofang,China,Defense Evasion; Execution; Initial Access,T1027; T1027.002; T1204.002; T1566.001,"net: HTTPS 443, ICMP ping; file: C:\Users\Public\art.jse`, C:\Users\`",https://attack.mitre.org/groups/G0103/
