Scenrario_ID,Scenario_Name,Mitre_Groups,Reported_Origin,Simiulated Tactics,Simulated Techniques,Expected_artifacts,Reference
S18,Naikon,Naikon,China,Collection; Defense Evasion; Discovery; Execution; Initial Access; Multiple; Persistence,T1016.001; T1018; T1036.004; T1036.005; T1046; T1047; T1053.005; T1078.001; T1078.003; T1137; T1137.004; T1204.002; T1518.001; T1547.001; T1566.001; T1574.002,"proc: cmd.exe, powershell.exe, reg.exe, sc; net: HTTPS 443, ICMP ping; file: C:\Program, C:\Users\Public\art.jse`, C:\Users\`, C:\Windows\System32\calc.exe, C:\windows\system32\cmd.exe, c:\T1036.004_NonExistingScript.ps1",https://attack.mitre.org/groups/G0019/
S19,PittyTiger,PittyTiger,China,Multiple,T1078.001; T1078.003; T1078.004,net: HTTPS 443,https://attack.mitre.org/groups/G0011/ 
S20,Putter Panda,Putter Panda,China,Defense Evasion; Multiple,T1027.004; T1055.001; T1547.001; T1562.001,"proc: powershell.exe; net: HTTPS 443; file: %temp%\Windows_Defender_Cache_Maintenance.xml, %temp%\Windows_Defender_Cleanup.xml, %temp%\Windows_Defender_Scheduled_Scan.xml, %temp%\Windows_Defender_Verification.xml, C:\Users\Public\sandcat.dll, C:\Windows\System32\calc.exe",https://attack.mitre.org/groups/G0024/
S21,Suckfly,Suckfly,China,Credential Access; Defense Evasion; Discovery; Execution; Multiple,T1003.008; T1046; T1059.003; T1078.003; T1078.004; T1553.001,"proc: cmd.exe, whoami; net: HTTPS 443; file: c:\windows\system32\cmd.exe",https://attack.mitre.org/groups/G0039/ 
S22,TA459,TA459,China,Execution; Initial Access,T1059.001; T1059.005; T1204.002; T1566.001,"proc: powershell.exe, reg.exe; net: HTTPS 443, ICMP ping; file: C:\ProgramData\Microsoft\Windows\Start, C:\Users\Public\art.jse`, C:\Users\`",https://attack.mitre.org/groups/G0062/ 
S23,Tonto Team,Tonto Team,China,Command and Control; Credential Access; Discovery; Execution; Initial Access; Multiple; Persistence,T1003.001; T1003.003; T1003.008; T1056.001; T1059.001; T1059.006; T1069.001; T1090.001; T1090.003; T1135; T1204.002; T1505.003; T1566.001; T1574.001,"proc: cmd.exe, powershell.exe, sc; net: HTTPS 443, ICMP ping; file: C:\ProgramData\Microsoft\Windows\Start, C:\Users\Public\art.jse`, C:\Windows\Temp\lsass-xordump.t1003.001.dmp, C:\Windows\Temp\xordump.exe, C:\Windows\Temp\xordump.exe};, C:\inetpub\wwwroot",https://attack.mitre.org/groups/G0131/ 
S24,Deep Panda,Deep Panda,China,Collection; Discovery; Execution; Lateral Movement; Persistence; Defense Evasion; Multiple,T1018; T1021.002; T1027; T1027.002; T1047; T1057; T1059.001; T1218.010; T1505.003; T1546.008,"proc: cmd.exe, powershell.exe, atbroker.exe, osk.exe, regsvr32.exe, wmic.exe, notepad.exe; net: SMB 445, HTTPS 443; file: C:\inetpub\wwwroot, %temp%\shell32.jpg, %APPDATA%\vmtools.log, \\Target\C$\Users\Public\s4ndc4t.exe",https://attack.mitre.org/groups/G0009/
S25,GALLIUM,GALLIUM,China,Collection; Exfiltration; Execution; Persistence; Credential Access; Discovery; Lateral Movement; Defense Evasion; Command-and-Control; Multiple,T1003.001; T1003.002; T1005; T1016; T1016.001; T1018; T1033; T1036.003; T1041; T1047; T1049; T1053.005; T1059.001; T1059.003; T1074.001; T1078.001; T1078.003; T1105; T1133; T1136.002; T1218.010; T1505.003; T1550.002; T1553.004; T1553.005; T1560.001; T1570; T1574.002,"proc: cmd.exe, powershell.exe, wmiexec, procdump.exe, curl.exe, winrar.exe, 7z.exe; net: WinRM, SMB 445, HTTP 80/443, DNS exfil; file: C:\Windows\Temp\lsass_dump.dmp, C:\inetpub\wwwroot, staged archives, Git repo tarballs",https://attack.mitre.org/groups/G0093/ 
S26,Ke3chang,Ke3chang,China,Collection; Command and Control; Credential Access; Defense Evasion; Discovery; Execution; Exfiltration; Lateral Movement; Multiple; Persistence,T1003.001; T1003.002; T1003.003; T1003.004; T1003.005; T1003.006; T1005; T1007; T1016; T1018; T1021.002; T1021.003; T1021.004; T1027; T1033; T1036.004; T1036.005; T1046; T1047; T1053.005; T1056.001; T1059.003; T1070.004; T1074.001; T1078.001; T1078.003; T1090.001; T1090.003; T1105; T1112; T1135; T1204.002; T1218.010; T1505.003; T1543.003; T1546.008; T1547.001; T1547.009; T1553.004; T1559; T1560.001; T1566.001; T1567.001; T1567.002; T1572,"proc: cmd.exe, powershell.exe, reg.exe, sc, net.exe, curl.exe, psExec.exe, winrar.exe, bash; net: HTTP 80, HTTPS 443, SMB 445, DNS; file: NTDS.dit, LSA Secrets dump, Kerberos tickets, /etc/passwd, /etc/shadow, LSASS dumps, Golden Tickets, startup folder links, batch scripts, keylogger files",https://attack.mitre.org/groups/G0004/ 
S27,APT 5,APT 5,China,Collection; Credential Access; Defense Evasion; Discovery; Execution; Lateral Movement; Persistence; Multiple,T1003.001; T1003.002; T1036.003; T1049; T1053.002; T1055.002; T1055.012; T1056.001; T1057; T1059.001; T1059.003; T1070.003; T1070.004; T1070.006; T1074.001; T1083; T1098; T1136.001; T1136.002; T1505.003; T1505.004; T1560.001; T1562.006; T1021.001; T1021.004,"proc: cmd.exe, powershell.exe, reg.exe, sc, at.exe, procdump.exe, nanodump.exe, appcmd.exe, 7z.exe, winrar.exe; net: RDP 3389, SSH 22, SMB 445, HTTP 80, HTTPS 443; file: C:\Windows\Temp\lsass_dump.dmp, %temp%\nanodump.dmp, C:\Windows\System32\config\SAM, C:\inetpub\wwwroot\webshell.aspx, C:\Windows\Tasks\At*.job, C:\Users\Public\staged\*, C:\staging",https://attack.mitre.org/groups/G1023/
S28,Chimera,Chimera,China,Collection; Credential Access; Command and Control; Defense Evasion; Discovery; Execution; Exfiltration; Lateral Movement; Multiple,T1003.003; T1003.002; T1003.001; T1003.003; T1003.005; T1003.006; T1003.004; T1033; T1036.003; T1040; T1046; T1047; T1049; T1053.005; T1055.012; T1056.001; T1057; T1059.001; T1059.003; T1070.001; T1070.002; T1070.003; T1070.004; T1070.006; T1071.004; T1071.001; T1074.001; T1081; T1083; T1087.001; T1087.002; T1090.003; T1098; T1136.001; T1136.002; T1136.003; T1210; T1211; T1218.011; T1482; T1484.001; T1486; T1489; T1490; T1505.003; T1505.004; T1518.001; T1518; T1529; T1530; T1537; T1543.003; T1543.004; T1546.010; T1546.012; T1550.002; T1555.003; T1556.002; T1560.001; T1560.003; T1562.004; T1562.006; T1567.002; T1567.001; T1567.003; T1567.004; T1570; T1572; T1574.002; T1574.001; T1574.012; T1580; T1584.002; T1585.002; T1585.003; T1590.002; T1595.002; T1599.001; T1599.002,"proc: cmd.exe, powershell.exe, wmic.exe, reg.exe, net.exe, rundll32.exe, schtasks.exe, 7z.exe, curl.exe, evil-winrm.exe, kerbrute.exe, mimikatz.exe; net: HTTP 80, HTTPS 443, SMB 445, RDP 3389, WinRM 5985, DNS 53; file: %temp%\archive.7z, %temp%\loot.zip, C:\Windows\Temp\lsass.dmp, C:\inetpub\wwwroot\webshell.aspx, \\\\domaincontroller\\C$\Windows\\NTDS.dit, scheduled_task.xml",https://attack.mitre.org/groups/G0114/ 
S29,Earth Lusca,Earth Lusca,China,Collection; Command and Control; Credential Access; Defense Evasion; Discovery; Execution; Exfiltration; Initial Access; Persistence; Privilege Escalation,T1003.001; T1003.006; T1016.001; T1027.004; T1033; T1036.005; T1007; T1047; T1049; T1053.006; T1057; T1059.001; T1059.005; T1059.006; T1059.007; T1090.001; T1098.004; T1112; T1140; T1204.002; T1218.005; T1482; T1543.003; T1547.012; T1548.002; T1560.001; T1566.001; T1567.002; T1574.002,"proc: powershell.exe, cmd.exe, mshta.exe, wscript.exe, cscript.exe, csc.exe, rclone.exe, 7z.exe, reg.exe, wmic.exe; net: HTTPS 443, HTTP 80, DNS 53; file: %TEMP%\\archive.7z, %TEMP%\\loot.zip, C:\\Windows\\System32\\spool\\drivers\\, %APPDATA%\\Microsoft\\Windows\\Start Menu\\Programs\\Startup\\, C:\\Users\\Public\\art.jse",https://attack.mitre.org/groups/G1006/
S30,Winnti Group,Winnti Group,China,Command and Control; Defense Evasion; Discovery,T1014; T1057; T1083; T1105; T1553.001; T1553.004; T1553.005,"proc: curl.exe, certutil.exe, gup.exe, powershell.exe, cmd.exe; net: HTTP 80, HTTPS 443, DNS 53; file: %TEMP%\download.bin, %TEMP%\upload.bin, C:\Program Files\Notepad++\updater\GUP.exe, C:\Windows\System32\drivers\rootkit.sys, C:\Users\Public\art.jse",https://attack.mitre.org/groups/G0044/ 
S31,ZIRCONIUM,ZIRCONIUM,China,Command and Control; Credential Access; Defense Evasion; Discovery; Execution; Exfiltration; Initial Access; Persistence,T1012; T1016.001; T1027.002; T1033; T1036.004; T1041; T1047; T1059.003; T1059.006; T1082; T1105; T1124; T1140; T1204.002; T1218.007; T1090.003; T1547.001; T1555.003; T1573,"proc: cmd.exe, powershell.exe, python.exe, msiexec.exe, wscript.exe, reg.exe, tor.exe, psiphon.exe, openssl.exe; net: HTTP 80, HTTPS 443, DNS 53, Tor (SOCKS), TLS (OpenSSL); file: %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\*.lnk, HKCU\Software\Microsoft\Windows\CurrentVersion\Run\, HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell, %TEMP%\staged.7z, %TEMP%\archive.zip, %TEMP%\download.bin",https://attack.mitre.org/groups/G0128/ 
S32,Mustang Panda,Mustang Panda,China,Command and Control; Collection; Credential Access; Defense Evasion; Discovery; Execution; Exfiltration; Initial Access; Persistence; Privilege Escalation; Lateral Movement; Impact,T1005; T1012; T1016.001; T1033; T1036.004; T1041; T1047; T1053.005; T1055; T1059.003; T1059.005; T1059.006; T1059.007; T1070.004; T1070.006; T1082; T1091; T1095; T1105; T1106; T1108; T1112; T1113; T1137; T1140; T1197; T1203; T1204.002; T1216.001; T1218.004; T1218.005; T1220; T1546.003; T1547.001; T1548; T1548.002; T1553.005; T1555.003; T1566.001; T1566.002; T1568.002; T1573; T1574.002,"proc: powershell.exe, cmd.exe, mshta.exe, installutil.exe, wscript.exe, win32_process, rundll32.exe, dotnet.exe, anydesk.exe; net: HTTP 80, HTTPS 443, OpenSSL TLS 443, WMI RPC ports, SMB 445; file: %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\*.lnk, %TEMP%\*.7z, %TEMP%\staged_data, %SYSTEM32%\wbem\mof\*.mof, phishing_docs.docm, removable_media\*.exe",https://attack.mitre.org/groups/G0129/
S33,BRONZE BUTLER,BRONZE BUTLER,China,Command and Control; Collection; Credential Access; Defense Evasion; Discovery; Execution; Exfiltration; Initial Access; Lateral Movement; Persistence; Privilege Escalation,T1005; T1007; T1016.001; T1027.001; T1027.003; T1033; T1036.004; T1036.005; T1037.001; T1041; T1047; T1053.002; T1053.005; T1055; T1059.003; T1059.005; T1059.006; T1059.007; T1059.010; T1069.002; T1070.004; T1070.006; T1074.001; T1082; T1087.001; T1090.003; T1091; T1105; T1106; T1112; T1114; T1134.002; T1140; T1190; T1203; T1204.002; T1218.007; T1220; T1543.003; T1547.001; T1548.002; T1550.003; T1552.001; T1558.003; T1560.001; T1566.001; T1566.002; T1573,"proc: powershell.exe, cmd.exe, python.exe, wscript.exe, headless_chrome.exe, openssl.exe, curl.exe, truncate.exe, reg.exe, schtasks.exe, at.exe, lsm.exe (masquerade), dotnet.exe; net: HTTP 80, HTTPS 443, OpenSSL TLS 443, SMB 445, Web Protocols C2; file: %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\*.lnk, HKCU\Software\Microsoft\Windows\CurrentVersion\Run\, %TEMP%\*.7z, %TEMP%\payload.vbs, malicious.docm, dotnet_hook.dll, /etc/passwd",https://attack.mitre.org/groups/G0060/ 
S34,Rocke,Rocke,China,Command and Control; Collection; Credential Access; Defense Evasion; Discovery; Execution; Impact; Lateral Movement; Persistence,T1003.001; T1003.004; T1016; T1027.001; T1027.004; T1033; T1036.004; T1036.005; T1037.001; T1037.003; T1040; T1041; T1046; T1053.002; T1055.002; T1059.004; T1059.006; T1059.007; T1059.008; T1059.010; T1068; T1070.001; T1070.004; T1070.006; T1078.003; T1082; T1083; T1087; T1090; T1102.001; T1105; T1106; T1108; T1112; T1134.002; T1136.001; T1136.002; T1140; T1190; T1203; T1218.007; T1222.002; T1543.002; T1543.003; T1547.001; T1548.002; T1547; T1552.004; T1553.005; T1556.001; T1560.001; T1562.004; T1562.006; T1562.009; T1566.001; T1566.002; T1569.002; T1573.002; T1574.006,"proc: bash, powershell.exe, cmd.exe, python.exe, perl.exe, csc.exe, yes (cpu miner simulation), curl.exe, sc.exe, at.exe; net: HTTP(S) Web Protocols C2, Non-Standard Ports, SSH 22, SMTP Mail Server Discovery, SMB; file: /etc/ld.so.preload, %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\*.lnk, %TEMP%\payloads, log files deletion, rootkit modules, UPX-packed binaries, timestamp-masqueraded files",https://attack.mitre.org/groups/G0106/ 
S35,Volt Typhoon,Volt Typhoon,China,Command and Control; Collection; Credential Access; Defense Evasion; Discovery; Execution; Lateral Movement; Persistence; Privilege Escalation; Reconnaissance; Exfiltration,T1003.001; T1003.003; T1003.004; T1005; T1010; T1012; T1016; T1018; T1021.002; T1021.003; T1021.004; T1025; T1027.001; T1027.004; T1033; T1036.003; T1036.004; T1036.005; T1037.004; T1039; T1040; T1041; T1046; T1053.002; T1055; T1057; T1059.004; T1059.005; T1059.006; T1059.007; T1059.008; T1059.010; T1069.001; T1069.002; T1070.001; T1070.004; T1070.006; T1071.001; T1071.002; T1071.004; T1072; T1074.001; T1078; T1082; T1083; T1087.001; T1087.002; T1090; T1095; T1102.001; T1105; T1112; T1113; T1123; T1124; T1127.001; T1134; T1136.001; T1136.002; T1136.003; T1140; T1195.002; T1204.002; T1218.001; T1218.002; T1218.010; T1218.011; T1222.002; T1546.004; T1546.013; T1546.015; T1547.001; T1548.002; T1552.004; T1553.005; T1560.001; T1562.001; T1562.004; T1562.006; T1564.004; T1566.001; T1567; T1567.002; T1567.003; T1568.002; T1569.002; T1571; T1573.002; T1574.002; T1574.006; T1589.001; T1592.001,"proc: cmd.exe, powershell.exe, bash, wmic.exe, esentutl.exe, rdrleakdiag.exe, psexec.exe, netcat, openssl, at.exe, schtasks.exe, curl.exe, keylogger (auditd), COM hijacking objects, browser data dump tools; net: HTTP(S) Web Protocols, ICMP C2, Netcat (TCP), encrypted channels, non-standard ports, RDP, SMB, external VPN registry hacks; file: NTDS.dit copy, LSASS dumps, ADFS private keys, staging dirs, .bashrc modifications, malicious .chm, web shells on disk, UPX-packed binaries, modified prefetch, deleted logs",https://attack.mitre.org/groups/G1017/
S36,Threat Group-3390,Threat Group-3390,China,Command and Control; Collection; Credential Access; Defense Evasion; Discovery; Execution; Exfiltration; Initial Access; Lateral Movement; Persistence; Privilege Escalation,T1003.001; T1003.004; T1012; T1016.001; T1018; T1021.006; T1027.002; T1030; T1033; T1046; T1047; T1053.002; T1055.012; T1056.001; T1059.001; T1059.003; T1070.004; T1070.005; T1071.004; T1074.001; T1087.001; T1105; T1112; T1119; T1133; T1140; T1195; T1204.002; T1505.003; T1543.003; T1548.002; T1560.002; T1562.002; T1566.001; T1574.001; T1574.002,"proc: powershell.exe, cmd.exe, wmic.exe, esentutl.exe, procdump.exe, curl.exe, at.exe, auditd; net: DNS tunneling/queries (53), HTTPS 443, ICMP ping, WinRM; file: %TEMP%\stage\*, %TEMP%\*.zip, /tmp/*.tar.gz, C:\Windows\Temp\lsass_dump.dmp, browser Login Data/History DBs, web shells in C:\inetpub\wwwroot\*, Scheduled Tasks (.job), registry Run keys modified",https://attack.mitre.org/groups/G0027/
